Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
gems20k,published,managed_by_android,false,en_US;20K Gems;20K gems to speed up progress.,true,1990000,
gems275k,published,managed_by_android,false,en_US;275K Gems;275K gems to speed up progress.,true,4990000,
gems700k,published,managed_by_android,false,en_US;700K Gems;700K gems to speed up progress.,true,9990000,
gems2m,published,managed_by_android,false,en_US;2M Gems;2M gems to speed up progress.,true,14990000,
crates30,published,managed_by_android,false,en_US;30 Supply Crates;30 supply crates to speed up progress.,true,1990000,
crates200,published,managed_by_android,false,en_US;200 Supply Crates;200 supply crates to speed up progress.,true,4990000,
crates500,published,managed_by_android,false,en_US;500 Supply Crates;500 supply crates to speed up progress.,true,9990000,
crates1000,published,managed_by_android,false,en_US;1K Supply Crates;1K supply crates to speed up progress.,true,14990000,
gems6m,published,managed_by_android,false,en_US;6M Gems;6M gems to speed up progress.,true,34990000,
gems20m,published,managed_by_android,false,en_US;20M Gems;20M gems to speed up progress.,true,69990000,
crates2500,published,managed_by_android,false,en_US;2.5K Supply Crates;2.5K supply crates to speed up progress.,true,34990000,
crates5500,published,managed_by_android,false,en_US;5.5K Supply Crates;5.5K supply crates to speed up progress.,true,69990000,
gems25kcrates30,published,managed_by_android,false,en_US;25K Gems and 30 Supply Crates;25K gems and 30 supply crates to speed up progress.,true,3990000,
gems300kcrates200,published,managed_by_android,false,en_US;300K Gems and 200 Supply Crates;300K gems and 200 supply crates to speed up progress.,true,6990000,
gems800kcrates500,published,managed_by_android,false,en_US;800K Gems and 500 Supply Crates;800K gems and 500 supply crates to speed up progress.,true,12990000,
gems2.5mcrates1k,published,managed_by_android,false,en_US;2.5M Gems and 1K Supply Crates;2.5M gems and 1K supply crates to speed up progress.,true,17990000,
gems6.5mcrates2.5k,published,managed_by_android,false,en_US;6.5M Gems and 2.5K Supply Crates;6.5M gems and 2.5K supply crates to speed up progress.,true,39990000,
gems25mcrates5.5k,published,managed_by_android,false,en_US;25M Gems and 5.5K Supply Crates;25M gems and 5.5K supply crates to speed up progress.,true,79990000,
